98
(1,Aroma,1.0,1.0)
(2,Bagel,0.2,2.5)
(3,Batter,0.5,1.0)
(4,Beans,0.8,0.6)
(5,Beer,0.1,0.5)
(6,Biscuit,1.0,1.3)
(7,Bread,4.0,0.2)
(8,Broth,2.0,0.4)
(9,Burger,0.5,1.1)
(10,Butter,0.5,0.3)
(11,Cake,0.4,0.6)
(12,Candy,0.5,1.0)
(13,Caramel,0.3,7.0)
(14,Caviar,0.7,5.0)
(15,Cheese,0.7,1.0)
(16,Chili,0.2,1.6)
(17,Chocolate,0.1,0.6)
(18,Cider,0.1,0.4)
(19,Cobbler,0.6,2.2)
(20,Cocoa,0.8,0.1)
(21,Coffee,3.0,2.6)
(22,Cookie,0.8,1.0)
(23,Cream,0.1,0.3)
(24,Croissant,0.5,2.0)
(25,Crumble,0.2,1.2)
(26,Cuisine,0.2,3.0)
(27,Curd,0.3,1.3)
(28,Dessert,0.3,9.0)
(29,Dish,0.6,0.8)
(30,Drink,0.2,2.0)
(31,Eggs,0.1,1.0)
(32,Entree,0.2,0.5)
(33,Filet,0.1,2.0)
(34,Fish,1.0,1.8)
(35,Flour,0.8,1.1)
(36,Foie,1.0,1.7)
(37,Food,0.5,1.2)
(38,Glaze,1.0,1.3)
(39,Grill,2.5,0.8)
(40,Hamburger,0.1,1.5)
(41,Ice,0.3,7.0)
(42,Juice,3.0,0.2)
(43,Ketchup,0.3,1.1)
(44,Kitchen,1.5,1.2)
(45,Lard,1.0,1.5)
(46,Liquor,1.0,0.7)
(47,Margarine,0.1,2.0)
(48,Marinade,0.5,0.1)
(49,Mayo,3.0,1.2)
(50,Mayonnaise,1.5,1.6)
(51,Meat,0.2,1.0)
(52,Milk,0.2,1.2)
(53,Mousse,1.5,1.2)
(54,Muffin,0.2,0.2)
(55,Mushroom,0.2,1.3)
(56,Noodle,0.3,8.0)
(57,Nut,0.3,1.0)
(58,Oil,0.1,0.5)
(59,Olive,1.0,1.0)
(60,Omelette,1.5,0.3)
(61,Pan,0.4,7.0)
(62,Pasta,4.0,1.5)
(63,Paste,0.3,0.9)
(64,Pastry,0.5,0.5)
(65,Pie,1.0,1.6)
(66,Pizza,0.2,2.2)
(67,Plate,3.0,0.4)
(68,Pot,0.3,2.3)
(69,Poutine,0.1,2.0)
(70,Pudding,0.6,0.2)
(71,Raclette,2.5,0.5)
(72,Recipe,0.6,1.6)
(73,Rice,0.5,0.4)
(74,Salad,0.5,0.1)
(75,Salsa,0.5,0.8)
(76,Sandwich,0.7,1.2)
(77,Sauce,0.5,0.5)
(78,Seasoning,0.2,0.1)
(79,Skillet,0.6,0.5)
(80,Soda,0.4,0.2)
(81,Soup,0.4,4.5)
(82,Soy,0.3,1.0)
(83,Spice,1.0,0.1)
(84,Steak,0.4,1.5)
(85,Stew,0.1,3.3)
(86,Syrup,2.0,0.7)
(87,Tartar,1.3,0.8)
(88,Taste,0.2,1.6)
(89,Tea,0.6,3.5)
(90,Toast,0.1,0.2)
(91,Vinegar,0.4,1.2)
(92,Waffle,0.4,0.7)
(93,Water,0.2,1.7)
(94,Wheat,3.0,0.6)
(95,Wine,0.2,1.4)
(96,Wok,2.5,9.0)
(97,Yeast,0.3,0.4)
(98,Yogurt,1.0,1.7)
