289
(1, 0, 0)
(2, 0, 37)
(3, 0, 74)
(4, 0, 111)
(5, 0, 148)
(6, 0, 185)
(7, 0, 222)
(8, 0, 259)
(9, 0, 296)
(10, 0, 333)
(11, 0, 370)
(12, 0, 407)
(13, 0, 444)
(14, 0, 481)
(15, 0, 518)
(16, 0, 555)
(17, 0, 592)
(18, 37, 0)
(19, 37, 37)
(20, 37, 74)
(21, 37, 111)
(22, 37, 148)
(23, 37, 185)
(24, 37, 222)
(25, 37, 259)
(26, 37, 296)
(27, 37, 333)
(28, 37, 370)
(29, 37, 407)
(30, 37, 444)
(31, 37, 481)
(32, 37, 518)
(33, 37, 555)
(34, 37, 592)
(35, 74, 0)
(36, 74, 37)
(37, 74, 74)
(38, 74, 111)
(39, 74, 148)
(40, 74, 185)
(41, 74, 222)
(42, 74, 259)
(43, 74, 296)
(44, 74, 333)
(45, 74, 370)
(46, 74, 407)
(47, 74, 444)
(48, 74, 481)
(49, 74, 518)
(50, 74, 555)
(51, 74, 592)
(52, 111, 0)
(53, 111, 37)
(54, 111, 74)
(55, 111, 111)
(56, 111, 148)
(57, 111, 185)
(58, 111, 222)
(59, 111, 259)
(60, 111, 296)
(61, 111, 333)
(62, 111, 370)
(63, 111, 407)
(64, 111, 444)
(65, 111, 481)
(66, 111, 518)
(67, 111, 555)
(68, 111, 592)
(69, 148, 0)
(70, 148, 37)
(71, 148, 74)
(72, 148, 111)
(73, 148, 148)
(74, 148, 185)
(75, 148, 222)
(76, 148, 259)
(77, 148, 296)
(78, 148, 333)
(79, 148, 370)
(80, 148, 407)
(81, 148, 444)
(82, 148, 481)
(83, 148, 518)
(84, 148, 555)
(85, 148, 592)
(86, 185, 0)
(87, 185, 37)
(88, 185, 74)
(89, 185, 111)
(90, 185, 148)
(91, 185, 185)
(92, 185, 222)
(93, 185, 259)
(94, 185, 296)
(95, 185, 333)
(96, 185, 370)
(97, 185, 407)
(98, 185, 444)
(99, 185, 481)
(100, 185, 518)
(101, 185, 555)
(102, 185, 592)
(103, 222, 0)
(104, 222, 37)
(105, 222, 74)
(106, 222, 111)
(107, 222, 148)
(108, 222, 185)
(109, 222, 222)
(110, 222, 259)
(111, 222, 296)
(112, 222, 333)
(113, 222, 370)
(114, 222, 407)
(115, 222, 444)
(116, 222, 481)
(117, 222, 518)
(118, 222, 555)
(119, 222, 592)
(120, 259, 0)
(121, 259, 37)
(122, 259, 74)
(123, 259, 111)
(124, 259, 148)
(125, 259, 185)
(126, 259, 222)
(127, 259, 259)
(128, 259, 296)
(129, 259, 333)
(130, 259, 370)
(131, 259, 407)
(132, 259, 444)
(133, 259, 481)
(134, 259, 518)
(135, 259, 555)
(136, 259, 592)
(137, 296, 0)
(138, 296, 37)
(139, 296, 74)
(140, 296, 111)
(141, 296, 148)
(142, 296, 185)
(143, 296, 222)
(144, 296, 259)
(145, 296, 296)
(146, 296, 333)
(147, 296, 370)
(148, 296, 407)
(149, 296, 444)
(150, 296, 481)
(151, 296, 518)
(152, 296, 555)
(153, 296, 592)
(154, 333, 0)
(155, 333, 37)
(156, 333, 74)
(157, 333, 111)
(158, 333, 148)
(159, 333, 185)
(160, 333, 222)
(161, 333, 259)
(162, 333, 296)
(163, 333, 333)
(164, 333, 370)
(165, 333, 407)
(166, 333, 444)
(167, 333, 481)
(168, 333, 518)
(169, 333, 555)
(170, 333, 592)
(171, 370, 0)
(172, 370, 37)
(173, 370, 74)
(174, 370, 111)
(175, 370, 148)
(176, 370, 185)
(177, 370, 222)
(178, 370, 259)
(179, 370, 296)
(180, 370, 333)
(181, 370, 370)
(182, 370, 407)
(183, 370, 444)
(184, 370, 481)
(185, 370, 518)
(186, 370, 555)
(187, 370, 592)
(188, 407, 0)
(189, 407, 37)
(190, 407, 74)
(191, 407, 111)
(192, 407, 148)
(193, 407, 185)
(194, 407, 222)
(195, 407, 259)
(196, 407, 296)
(197, 407, 333)
(198, 407, 370)
(199, 407, 407)
(200, 407, 444)
(201, 407, 481)
(202, 407, 518)
(203, 407, 555)
(204, 407, 592)
(205, 444, 0)
(206, 444, 37)
(207, 444, 74)
(208, 444, 111)
(209, 444, 148)
(210, 444, 185)
(211, 444, 222)
(212, 444, 259)
(213, 444, 296)
(214, 444, 333)
(215, 444, 370)
(216, 444, 407)
(217, 444, 444)
(218, 444, 481)
(219, 444, 518)
(220, 444, 555)
(221, 444, 592)
(222, 481, 0)
(223, 481, 37)
(224, 481, 74)
(225, 481, 111)
(226, 481, 148)
(227, 481, 185)
(228, 481, 222)
(229, 481, 259)
(230, 481, 296)
(231, 481, 333)
(232, 481, 370)
(233, 481, 407)
(234, 481, 444)
(235, 481, 481)
(236, 481, 518)
(237, 481, 555)
(238, 481, 592)
(239, 518, 0)
(240, 518, 37)
(241, 518, 74)
(242, 518, 111)
(243, 518, 148)
(244, 518, 185)
(245, 518, 222)
(246, 518, 259)
(247, 518, 296)
(248, 518, 333)
(249, 518, 370)
(250, 518, 407)
(251, 518, 444)
(252, 518, 481)
(253, 518, 518)
(254, 518, 555)
(255, 518, 592)
(256, 555, 0)
(257, 555, 37)
(258, 555, 74)
(259, 555, 111)
(260, 555, 148)
(261, 555, 185)
(262, 555, 222)
(263, 555, 259)
(264, 555, 296)
(265, 555, 333)
(266, 555, 370)
(267, 555, 407)
(268, 555, 444)
(269, 555, 481)
(270, 555, 518)
(271, 555, 555)
(272, 555, 592)
(273, 592, 0)
(274, 592, 37)
(275, 592, 74)
(276, 592, 111)
(277, 592, 148)
(278, 592, 185)
(279, 592, 222)
(280, 592, 259)
(281, 592, 296)
(282, 592, 333)
(283, 592, 370)
(284, 592, 407)
(285, 592, 444)
(286, 592, 481)
(287, 592, 518)
(288, 592, 555)
(289, 592, 592)
