30
(1,Aroma,0.4,0.9)
(2,Bagel,0.6,1.0)
(3,Batter,0.3,1.1)
(4,Beans,0.3,2.0)
(5,Beer,2.0,0.6)
(6,Biscuit,0.1,4.0)
(7,Bread,4.0,1.0)
(8,Broth,0.4,1.0)
(9,Burger,0.3,0.7)
(10,Butter,0.7,0.8)
(11,Cake,1.0,0.7)
(12,Candy,0.4,1.3)
(13,Caramel,0.3,8.0)
(14,Caviar,0.1,1.0)
(15,Cheese,1.6,1.3)
(16,Chili,1.0,4.0)
(17,Chocolate,0.7,1.0)
(18,Cider,0.5,1.4)
(19,Cobbler,0.2,0.2)
(20,Cocoa,0.5,1.0)
(21,Coffee,0.2,10.0)
(22,Cookie,0.3,3.0)
(23,Cream,1.3,10.0)
(24,Croissant,2.0,1.0)
(25,Crumble,0.3,0.5)
(26,Cuisine,4.0,0.5)
(27,Curd,1.0,1.4)
(28,Dessert,1.2,2.0)
(29,Dish,0.2,0.5)
(30,Drink,0.8,4.5)
