30
(1,Aroma,0.4,1.2)
(2,Bagel,0.6,1.0)
(3,Batter,1.0,3.0)
(4,Beans,0.4,1.1)
(5,Beer,0.1,0.4)
(6,Biscuit,0.4,0.2)
(7,Bread,0.4,1.6)
(8,Broth,0.2,1.0)
(9,Burger,0.2,3.3)
(10,Butter,0.2,1.0)
(11,Cake,0.1,0.5)
(12,Candy,0.1,1.4)
(13,Caramel,0.6,3.0)
(14,Caviar,0.5,2.5)
(15,Cheese,0.2,1.4)
(16,Chili,2.0,1.6)
(17,Chocolate,0.2,0.8)
(18,Cider,0.2,4.0)
(19,Cobbler,0.3,0.6)
(20,Cocoa,0.2,3.0)
(21,Coffee,0.1,0.6)
(22,Cookie,0.5,0.5)
(23,Cream,0.5,1.2)
(24,Croissant,0.3,0.5)
(25,Crumble,0.1,0.4)
(26,Cuisine,0.3,0.3)
(27,Curd,0.2,1.2)
(28,Dessert,0.1,0.1)
(29,Dish,0.6,1.4)
(30,Drink,0.4,1.0)
