4237
(3242,1653)
(788,2311)
(2985,566)
(1672,1471)
(3477,1089)
(405,2778)
(2946,1314)
(3462,966)
(3762,2439)
(282,2130)
(1846,1382)
(2588,509)
(3164,2626)
(947,2644)
(3348,3113)
(2994,3621)
(3788,3328)
(654,1795)
(1471,3410)
(2371,2911)
(2675,731)
(380,2797)
(855,3426)
(2966,1587)
(1246,3478)
(1997,846)
(1179,1032)
(1073,707)
(3501,2888)
(79,1004)
(627,1372)
(2774,3519)
(974,564)
(497,3568)
(2179,2841)
(2937,2229)
(775,3254)
(740,1062)
(1539,82)
(2924,1943)
(2728,512)
(3720,2104)
(2350,2164)
(3568,1473)
(2053,3714)
(3534,3412)
(2057,716)
(3260,3187)
(3652,1768)
(3351,152)
(274,355)
(3365,1998)
(3087,3941)
(2206,639)
(2803,855)
(1710,1613)
(2339,621)
(1110,3850)
(3846,3198)
(3452,3680)
(2606,3508)
(3142,225)
(1023,1310)
(559,1321)
(1590,1063)
(3838,1260)
(349,458)
(3756,241)
(621,79)
(3008,976)
(106,144)
(365,1027)
(3341,1319)
(805,2290)
(205,2344)
(1101,2741)
(2990,1498)
(629,1115)
(241,3123)
(1800,3816)
(3741,3265)
(3956,2735)
(1393,3029)
(3748,1715)
(3460,282)
(3265,1570)
(1558,2299)
(354,3347)
(1567,1003)
(2087,545)
(1311,1803)
(1161,3827)
(236,1117)
(684,3907)
(2411,3090)
(2468,1973)
(2051,93)
(3842,2276)
(1866,3811)
(3817,2874)
(3334,623)
(2981,1670)
(3243,3837)
(793,3125)
(2208,353)
(3734,3755)
(2135,2548)
(2183,3389)
(1846,1394)
(2016,2937)
(3020,3039)
(971,3728)
(2780,210)
(3928,984)
(2677,2345)
(3581,3507)
(2533,2730)
(2119,2026)
(378,1284)
(1635,2787)
(1479,1610)
(2705,3452)
(3728,2198)
(3338,3794)
(984,3799)
(3266,2003)
(2452,3075)
(126,2811)
(2079,2996)
(3507,486)
(502,284)
(3188,3685)
(1521,3622)
(3553,950)
(2495,1122)
(2040,503)
(1522,3272)
(1326,2286)
(1328,2318)
(2003,482)
(757,3770)
(2651,967)
(1257,261)
(53,842)
(1979,2185)
(1915,1137)
(2763,2403)
(190,1212)
